"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-0.0710712040058766,0,0,0,-0.38026792603231,0.219921015045801,0,0,-0.0989841037459381,0,0,0,0,0,0,0,0,-0.0669130995688121,0,0,0,0.049719112542916,0,0,-0.524914683215632,-0.260776104412708,0,0,0,-1.73472347597681e-18,0.620720905815006,0.16237550718014,0,0,0.0381154874196018,0,0,0,0,0,0,0,0,0,0,0.225308917621957,0,0.0974459392736497
"3",0,0,0,0,0,-0.173002233062277,0.125068179522598,0,0,0,0,0,0,0,0,0,0,0,-0.174747793788111,-0.0804622455519118,0,0,0.209629141054834,0,0,-0.421537828950372,-0.182497494210688,0,-0.0291400766049411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32187696738667,0,0
"4",0,0,0,0,0,0,0,0,0,0,0.0714635340186001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,-0.426084899833019,0,0,0,0,0,0,0,0,0.0907712008043916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436721986476927,0.0223786342455025,0.178883662982291,0,0,0,-0.081179354819042,0,0,0.123418022156823,0,0,0,0,0
"6",0,0,0,0,0,-0.350336077844296,0,0,0,0.358708861246487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288132734500514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361128329555954,0,0
"7",0,0,0,0,0,-0.900380045252829,0.456736060299182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136141782104028,-0.277103916576903,0,0.0631882476525825,0,0,0,0,0,0,0.000960090061828211,0,0,0,0,0,0,0,0,0,0,0.579878010319422,0,0.221630642249105
"8",0,-0.621818865431206,0.242754139629416,0,0,-0.697927696046855,0.45782399082758,0,0,0,-0.053427269574985,0,0,0,0,0,0,0,-0.143347567062287,-0.0948714590127284,0,0,0,0,0,-0.221264906369818,-0.332036098185251,0.346710233882458,0,-0.0890639660953987,0,0.623275192856347,0,-0.238918052313719,0.0483517289663686,0.0248112381374823,0,0.331544358678662,0,0,0,0,0,0,0,0,0.286745652695332,0,0.208310885692896
"9",-0.0609284639357233,0,0,0,0,-0.712266200659259,0.20402176308782,0,0.0952723214457112,0,0,0,0,0,0,0,-0.0347854875214511,0,-1.73472347597681e-18,0,0,0,0,0,-0.158492937995871,-0.433450274144331,-0.338549463113829,0.159577229287447,0.041995104257143,-0.0538941690162955,0,0.377308208448776,0,0,0,0,0,0.243559639715117,0,0,0,0,0.123201063686059,0,0,0,0.439586405960086,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109449929478138,0,0,0,0,0,0,0,0,0,0,0,0,0
