"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.139490690119865,0,-0.0627502676834175,0,-0.00684175068082273,0.241122183349433,0,0,0,0.0739483361572891,-0.01149912870868,0,0,0,0,0,-0.380537565516325,0.0527036690294474,-0.0932271947025279,0,0,0,0.0527656939836987,0.0226678692401369,0,0,0,0,0,0,0,-0.0754413168515655,0,0,0,0.045282080963575,0,0,0,-0.0541142345970585,0,0,0,0,0,0,0,0,0
"2",0,0,-5.42101086242752e-20,-0.0477759073336668,0,-0.0243979747034072,0,0,0,0,0,0,0,0,0,0.0194359364901932,0,0,0,0,0,0,0,0,-0.0402027425067692,0,-0.00778490348656507,-0.142093142037875,0,0,0,0,0,0,0,0,0,0,0,-0.0724544603613187,0,0,0,0,0,0,0,0,0.103353509901679
"3",0,0,0,0,0,-0.0788836351475327,0.00686651140415537,0.0529017410774311,0,0,0,0,0,0,-0.0184263486037738,0,0,0,0,-0.0473191046384647,0,0,0,0,-0.108802996798606,0.0129050086336163,0.0317339499142514,0,-0.0330201640111671,0,0,0,0,0.136716231622785,0,0,0,0,0,-0.0680729775830668,0,0,0,-0.0318616278530887,0,0,-0.0888354012148489,0,0
"4",-0.0242932912504707,0,-0.0284091045947565,-0.0212207277344427,-0.0681423487647782,-0.110154449759101,0,0.103987813889061,0,0.188434813664209,0,0,-0.0316193556206776,0,0,0,0.0580962015084952,0,0,0,0,0,0,0,0,0,0.0956095026814849,-0.11559946013882,-0.125437109847136,-0.0394126778675472,0,0,0,0.0726767168337595,0,0,0,0,0,0,0,0,0,0,0,0,-0.038774912479064,0,0
"5",0,0,0,0.0345517474025425,0,0,-0.0243374808694246,0,0,0.00722233844172614,0,-4.33680868994202e-19,0,0,0,0.042031848374954,0,0,0,0,0,-0.00575003333038201,0,0.0541150289098776,0,0,0.016586010365231,0,0,-0.166924119169981,0.0534070987827355,0,0,0,0,-0.00439553700017531,0,-0.0136765455882385,-0.0129745398635953,-0.144070847432103,0,0,0,0,0.0572688297744611,0,0,0,0
"6",0,0,0,0,0,0,-0.0179980082895702,0,0,0,-0.0811169324225528,0,0,0,0,0,0,0,-0.000767538446305414,-0.13001302975865,0,0,0,-0.00589622272425906,-0.0212894048013525,0,0.0641323671284238,-0.0159227535325828,-0.0553163650507332,0,0,0,0.0445324997270029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118051243164115
"7",0,0,0.020682185358918,0,-0.0177080006236546,0,0.0211832597547002,0,0,0.24444363785136,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406070156990773,-0.178505321588643,0,0,0,-0.0886075233862757,0,0,0,0.0524226972775649,0,0,-0.119361321351195,0,0.0698030386964528,0,0.0702439465439935,0,0,0,0,0,0,0.118413110002019,0,0.0271205609134695
"8",0,0,0.0251746430167507,0.0922268125155201,0.0288803851885513,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977300361683303,-0.106970007404448,0,0,0,-0.0390614026201918,-0.126066060467148,0,0.0320575299604445,-0.0143830339592547,-0.0824365552111233,-0.0659397220238161,0,0,0,0,0.0874448096064173,0,0,0,0,-0.0263103559839887,0,0,0,0,0,0,0.128913000896209,0,-0.0203579724904544
"9",0,0,0,0,0,-0.0117760076115575,0,0,-0.072950697059688,0.0786750742095463,0,-0.0884399422300051,0,0,-0.00375583433817716,0.0248706822480084,0,0,0,0,0,0,0,0,-0.109731304650891,0,0.00983980590714607,-0.108282565487849,-0.0646096393255762,0,0,0,0.119812777506587,0.0964804668459669,0,0.0349233132051435,0,0,0,-0.104723004149111,0,0,0,0,0,0,0.0151052036653301,0,0
"10",0,0,0.0300164264407897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154543592580258,-0.226982544488881,0,0,-0.0638061563435312,0,-0.0831938782949401,0,0,0,0,-0.0913719720159123,0,0,0,0,0,0.0711352157096161,-0.0102302514437497,0.0699979365178338,0.208421003292353,0,-0.0040669735750456,0,0,0.0481975545777035,0,0,0,0,0,0
