"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.018820338984212,0,-0.089397905396951,-0.211998343532675,-0.066511746021683,0.142338496442395,0,0,0,0,-0.126951917198245,0,0,-0.0163923901606295,0,0,0,0.229375306945351,-0.138587995935912,-0.121707640957536,0,0,0,0.0378306672941765,0,0.0261915170344817,-0.0568075107502516,0,0,-0.11139897871764,0,0,0,0,0,0,0,0.0622576936599049,0,0,0,0,0,-0.10415068478649,0,0.0742524172616106,0,0,0.223133996490497
"2",0,0,4.33680868994202e-19,-0.0202211786325183,0,0,0,0,0,0,0,-0.0749960136846275,-0.0127566462877786,0,-0.062097854387363,0,0,0,0,0,0,-0.0190707990693977,0,0,-0.189895707371828,0,0,0,0,0,0,0,0,0,0,0.0140661204119681,0,0,-0.0433538632542467,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.113803279347026,-0.20061608395733,0,-0.138213392014169,0,0,0,0,0,-0.0479680507314142,0,0,-0.254585722967005,0,0,0.0113557537678123,0,-0.107429692783173,0,0,0,0.33358905505946,-0.23240532280904,-0.0952759019563567,0.0688557281518471,0,0,-0.193176100383891,0.167337700861657,0,0.373782054191673,0.211322189649855,0,0,0,0.139397777845741,0,-0.0785607600516109,0,0,0,-0.110418569117957,-0.0268542662930814,0,-0.10705468196921,0,0
"4",0,0,0,0,0.0215747138508193,-0.0296710283939719,0,0,3.46944695195361e-18,0,-0.0719205610959361,0,-0.162201980043971,0,-0.389367357611228,0,0.0972761736666506,0,0,-0.0600633032390055,0,-0.330781139383589,0,0,-0.0502653749321377,-0.0629222458463865,0.0421238295394334,0,-0.0935610345035173,-0.144914081559646,0,-0.0308080701643031,0,0.959186230914856,0,-0.0363222593360442,0,0,-0.0233280583532404,0.0380255093709373,0,0,0,0.135028811449853,0,0,-0.118711029040547,0,0
"5",0,0,0.00454127595978248,0,0.0319205770026351,0,0,0,0,0,0,-0.0894913974690187,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0431066271469565,-0.052105356999984,0,0,-0.0840445853933371,0.0122636847122285,0,0,-0.0767420317687745,0,0,0.062700026870394,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.038891330808374,0,0.0830423966537367
"6",0,-0.0987916112752987,0,0,0,-0.0714586480114963,-0.00646148446076056,0,0,0,0,0,0,0,-0.140428774739306,0,0,0.0991046115251872,0,0,0,0,0,-0.0306329205925202,-0.000776717540557276,-0.0766026512078712,0.0641054235085202,0,-0.00154829708042265,0,0,0,0.107784075529837,0,0,0,0,0,0,0,0,0,0,-0.0336524902421002,0,0,0,0,0.0356899652996132
"7",0,0,0.0476371138853681,0.00072385640334072,0,-0.076932886307194,0.0797130169823749,0.129479402263691,0,0,0.0990526399929787,-0.0901614333983771,-0.0819778375247001,0,0,0,0,0,0,0,0,0,0,0,-0.0341568364131677,0,0,0,-0.194201868958329,0,0,0,0.237777940292009,0.106376747382808,0.056694592675898,-0.124644781569807,0,0,0,0,0,0,0,-0.0591159659384216,0,-0.112238516618399,0,0.142133748857023,0.0119307001134464
"8",0,0,0.0158473889127648,0.0171992494393319,0.10139698939488,0,0.0777902718905371,0,0,-0.0566473854663341,0,0,0,0,0,0,0,0,-0.0468205002318404,-0.111536262292211,0,-0.0277636645478675,0,-0.0287186620767405,0,-0.0395387013082334,0.0750991770422793,-0.139595833352352,-0.0777832395571229,0,0,0,0,0.0919877921791601,0.010733386420126,-8.67361737988404e-19,0,0,0,0,-0.0942755464028232,0,0,0,0,0,0.0887068894367116,0.0820603060443813,-0.0020624880456192
"9",-0.072392149885511,0,0,0,0,-8.67361737988404e-19,0,0,0,0.139704152560461,0,-0.151735405984109,0,0,-0.030858951937733,0,0,-0.0854469120197163,0,-0.0422594450033707,0,0,0,0,0,0,0.111690814401809,-0.134556023616664,-0.0695686250556663,0,0,0,0.316972929339918,0,0,0.0477130849211109,0,-0.109620154573601,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.0150489844731796,-0.192088080071641,0,0,0,0,0,0,0,0,-0.0172891281580309,0,0,0,0,0.0711649622099726,0,0,0,-0.119954452837002,-0.060244292487459,-0.0173569912526003,-0.0268251295097386,-0.18546594734332,-0.08546189587328,0,0.238031460393548,-0.0747124372535638,0,0,0.242046391487836,0,0.174644253139744,0.133148905603964,0,0,0,0,0,0,0,0.0205606496411876,0,0,0
"11",0,0,0,0,0,0.0999428299826109,0,0,0,0.0714997584750093,-0.0397824382866162,-0.0502624307037224,-0.719025937626766,0,-0.653194998351557,0,0,0.0526479418978992,-0.424415001246498,0,0,0,0,0.093006902785078,0,0,-0.0667013765238854,0,0,-0.117750745407929,0,0,0.205025184445314,0,0,0,0.521646872964007,0.00998173476242931,0,0,0,0,0,0.0559474838757982,0,0,0.0308052579990011,0.107411845056851,0.41206303572065
"12",0,0,0,0.0485989239273795,0,0,0,0,0,0,0.0385361650116705,-0.178274901714184,0,-0.148208591915247,0,0,0,0,0,0,0,0,0,0,-0.0761670489346637,0,-0.0372466168174726,0,-0.0589084012510146,-0.0998881599271137,0.124580731242485,0,0.276808636527525,0,0,0,0,0,0,-0.0157217450237334,0,0,0,0,0,0,0,0,0.112165412199029
"13",0,0,-0.0287097519694262,0,0.0385643139913007,0,0,0,0,0,0,-0.330882609867576,-0.188141662945433,0,0,0,0,-0.0209017367475107,-0.0684612057449978,-0.0479376644383983,0,0,0,0,-0.0366692188429363,0,-0.0545966141254972,0,-0.0828512689706277,0,0.0915110523524509,0,0.175389143998362,0.341819978291743,0,0,0,0,0,0,-0.097713639715653,0,0,0,0,0,0,0,0.127843989576257
"14",0.228938992017348,-0.0766300545725294,0,0,0,0,0,0.103218622148078,0,0,0,0,-0.142630965574624,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.137970299882135,0,0,0,0,0,-0.0417669379129112,0.0920674293206502,-0.187790774144986,0,0,0.114300285370475,0,-0.0543127382484904,0.0236343728610813,0,0,0,0,-0.0648540822426156,0,0,0,-0.0178143793468175,0,0,0,-0.142311995495815
"15",0.168797906361998,0,0.0174871449004618,0,-0.0219538220874432,0,0,0,0,0,-0.200355103455613,0,0,1.73472347597681e-18,-0.235255460408718,0,0,-0.0046378956764784,0,0,0,0,-0.0861899331402135,0.103032643524303,0,0,0.0385517149571335,-0.104255011858151,0.0884340550619838,-0.0346063799587843,0.0299002567805754,0,0.274670377809458,0,0.052479994315817,0,0,0,0.0493444183377441,0,0,0.0160472902976551,0,0,0,0,-0.00625466620203658,0,0
"16",0,-0.0434457903215613,0.00334317591602908,0,0.0834182897501742,0,0.0533062746695654,0,0,0.177407465862654,0,0,0,0,-0.353855323766501,0,0,-0.0295127402095253,0.00976589651774066,0,0,-0.0192596281537689,0,0,0.0336375957192927,0,0.0568539861366792,0,-0.0463009423040103,-0.128399423579749,0,-0.0729725021487672,0,0,0,-0.0352745668591554,0,0,0,0,0,0,0.0316197719829338,0,0,0,0,0.214881737375469,0
"17",0,0,0,-0.0710468574336954,0,-0.085987636167286,0,0,0,0,0,-0.100881640461917,0,0,0,0,0,0.123169528931794,0,0,0,0,0,0,0,0,0.0445010321707857,-0.223507220461204,-0.0419070136008352,-0.126745869211543,0.0449769993304239,0,0.0742875134282555,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0.116669023421982,0,0,0,0
"18",0.133446789218688,0,-0.190598624945144,0,0,0,-0.066046660817947,0,-0.0599941147062109,0,0,0,0,0,0,0,0,0,-0.0529810599774554,0,0,0,0,0,0,0,0.0259765018299636,0,-0.0498733499328358,0,0,0,0,0,0,-0.0109604525702796,0,0,0,0,0,0,0,-0.0342358283432024,0,0.167907874130619,0,0.12719680404429,0.173721186293131
"19",0.125232816279223,0,0.0114078672869903,0,0,0,0.185577131732576,0,0,0,0.11200399538832,0,0,0,-0.627850159276087,0,0.306395970237215,0.00326065142894771,0,0,0,-0.252896136069055,0,0,0,-0.135273237269534,0.00555553103158251,0,0.0777917523932967,0,-0.102228686109953,0,0.125531083193502,0,0.0460101386150649,-0.0910871196231238,0,0,0,0,0,0,0,0,0,0,0.0245972258871573,0,0
"20",0,0,-0.0441722788392303,0,0.0732738181182995,0.0879398462478417,-0.0480157190309256,0,0,0,0.0551078045183264,0.0855167719075675,-0.21726826004862,0,-0.0385635599966342,0,0,0,-0.185093489943833,-0.16717994736496,0,0,0,0,-0.0730813405988383,0,0,0,0.113167110607067,0,0,0,0,0,0,8.67361737988404e-19,0.100642036846695,0,0,0,0,0,0,-0.0748044056420344,0,0,0.0874112295037169,0,0.0733703261232642
"21",0.132399702338082,0,0,0,0,-0.0445470622418127,0,0,0,0,0,-0.112288216201675,0,0,-0.243273156795398,-0.0445532756409739,0,0.029649119329691,0,0,0,0,0,0,0,0.0537287727007635,0.0329108376168402,-0.119598835898166,0,0,0,0,0.0778032579549266,0,0,0.0252538384044332,0.168207807474538,-0.146183856700522,0,0,0,0,0,-0.0497484672731639,0,0,0.0384117374300607,0,0
"22",0,0,0,0,0,0,0,0.0317484811910985,0,-0.101349047691713,5.42101086242752e-20,0,-0.215786959001075,0,0,0,0.0464987854979397,0,0.0759210707966557,-0.0823646717049011,0,-0.290242958840467,-0.0404624093782977,0,0,0,0,-0.206590317360375,0,0,0,-0.00011768002733437,0.122042313033789,0.385318641495064,0,0.00423854146743387,0.0231798701038629,0,0,-3.46944695195361e-18,-0.128495425794737,0,0,0,0,0,0,0.0375152201960393,0
