"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,0.0958675764344689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271329041895961,0,0,0,0,0,0.022103533111902,0,0,0,0,0,-0.0341773586236806,0,0,0,0,0,0,0,0.0311604214579481,0,0,0,0,0,0,0,0,0,0,0.039275504841108
"2",0,0,0,0,0,0,0.0392202863335115,0,0,0,0.0210587689722485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573427347694093,0,0,-0.0304651006753939,0,0.00828734538372905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20
"3",0.0298911299626269,0,0,0,0,0,0,0,0,0,0.0550528908542276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352772193101092,0,0,-0.115140721949373,-0.0705814536906583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0.0090885828218526,0,0,0,0,0.0335160442182098,0.0273769977360946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056218055650844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0117397138945078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032442020460104,0,0,-0.0679512995270772,0,-0.0268188476149001,0,0,0,0,0,0,-0.0253508892891189,0,0,0,0,0,0,0,0,0,0.0670873731356571,0,0,0
"6",0.0214611483933733,0,0,0,-0.0404707664762006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168513146160196,0,0,0,0,0,0.0509525841172029,0,0,0,0,0,0,0,0,0,0,0,0.0265053531068137,0,0.0739211604343623,0,0
"7",0,0,0,0,0,-0.162609697157243,0.092741028723421,0.0589205182878628,0,0.0590039970431643,0,0,0,0,0,0,0,0,-0.0330906773731715,0,0,0,0,0,0,0,0,0,0,0,0,0.0138899730282653,0,0,0,0,0,0,0,0,0.0260284582798109,0,0.0194836900742483,0,0,0,0,0,0.0844523979987586
"8",0.0550689355708492,0,0,0,0,0,0.0386401737747929,0,0,0.0259139278790731,0,0,0,0,0,0,0,0,-0.0177825070489043,0,0,0,0,0,0,0.046122615344159,-0.0184493373278652,0,-0.0223061472990198,-0.0495639160030687,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.044494979155874,0,0
"9",0,0,0,0,0,0,0,0,0,0.103611074293216,0,0,0,0,0,0,0,0,-0.0612967502606321,0,0,0,0,0,0,0,0,-0.0351988584483421,-0.026588570522508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502456149920553,0,0.00406844055953885,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0635258977993501,0.0236900316675788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164939884220378,0,-0.00940031395814102,-0.0919879909775844,0,0,0,0,0,0,0,0,0,0,0,0,0.0582599250611418,0,0,0,0,0.0419890971483018,0
"11",0,0,0,0,0,0.0255584398318483,0.0279575678500238,0,0,0,0.0622699762630003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050997531543215,0,0,0.0164419485788724,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0.0197888328232671,0.0494852012517255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362548118270806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267883595012292
"13",0,0,0,0,0,0,0,0,0,0.0319772487140109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03159007338171,-0.0477321605566569,-0.0353870427436198,0,0.121815204387953,0,0,0,0,0.00446809302388689,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.0198761122394326,0,0,0,0,0,0,0,0,0.0328043026776245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385861673404737,0,0.0207252564595755,0,-0.0265838493561511,-0.0556824730442882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0.0864719209114505,0,0,0,0,0.0521653452863602,0,0,0,0,0,0,0,0,-0.0480258014577205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228090141410982,0,0,0,0,0.0461988351449297,0,0,0,0
"16",0,0,0,0,0,0,0.0336983526493334,0,0,0.0745579958865741,0,0,0,0,0,0.0129461565421302,0,0,0,0,0,0,0,0,0,0,0,0,-0.00938739119527511,0,0,0,0,0,0,0,0,0.00681585746408327,0,0,0,0,0,0,0,0,0,0.0617582966256386,0
"17",0,0,0,0,0,0,0.00872217153465442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215675611234144,-0.0372009864146936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101714627384342,0,0,0.0474834326039274,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0.140926473478311,0,0,0,0,0,0,0,-0.0773926172660787,0,0,0,0,0,0,0,0,0,0.0182257958554369,0,0,0,0.0211558696122421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.0279533643080128,0,0,0,0,-0.0612429711152824,0,0,0,0,0.0276490644604815,0,0,0,0,0,0,0,-0.0582266323422839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244709376298821,0,0,0,0,0,0,0,0,0.0597814276787573,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912269523172458
"21",0,0,0,0,0,-0.0170604693449252,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490131509068808,0,0.0162624318305289,0,0,0,-0.0591235088269311,0,0.0351024358680681,0,0,0,0,0,0,0,0,0,0.0202774760643297,0.0808289799847736,0,0.027885990084252,0,0,0,0,0,0.0657216063622402,0,0,0
"22",0,0,0.0403944385782943,0,0,0,0.0505645646060375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383378946954594,-0.0337780249392458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
