"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.04659,0.02805,0.02759,0.01982,0.04528,0.02381,0.0266,0.0204,0.04368,0.02544,0.01901,0.01478
"2",0.03027,0.01548,0.02038,0.0131,0.01301,0.03196,0.02637,0.00988,0.02007,0.01301,0.0129,0.03127
"3",0.01259,0.02613,0.01584,0.01049,0.03519,0.02102,0.01082,0.01352,0.02797,0.02991,0.000750000000000002,0.01837
"4",0.0431,0.01607,0.02552,0.03933,0.03218,0.02599,0.03694,0.01706,0.02229,0.01777,0.00377,0.03712
"5",0.02462,0.02344,0.04849,0.03345,0.03515,0.02348,0.02966,0.04313,0.04213,0.04536,0.04111,0.02314
"6",-0.03335,-0.01166,0.00668,-0.00222,-0.02265,-0.01733,-0.00944,0.00811,-0.01854,0.00111,0.01149,-0.01732
"7",-0.05998,-0.06624,-0.05723,-0.05373,-0.0804,-0.05451,-0.04867,-0.04352,-0.05768,-0.0686,-0.04829,-0.05001
"8",0.0483,0.0424,0.01819,0.03123,0.04087,0.03574,0.0369,0.02617,0.04251,0.03644,0.01423,0.0298
"9",0.04908,0.05824,0.06517,0.04472,0.0412,0.04792,0.0518,0.05406,0.04534,0.06204,0.04105,0.05239
"10",-0.02163,0.00703,0.00692,0.00192,-0.01002,0.01365,0.01043,0.01315,-0.01098,0.00204,0.01489,0.01009
"11",0.07067,0.06419,0.05091,0.04515,0.05792,0.06788,0.06145,0.0451,0.05275,0.06115,0.05059,0.05969
"12",-0.01823,-0.01203,0.00154,-0.00949,0.000950000000000002,-0.01964,-0.01958,-0.00313,0.00268,-0.0126,0.0034,0.000520000000000001
"13",0.04825,0.07036,0.04886,0.04462,0.05186,0.04679,0.04693,0.04089,0.051,0.06397,0.04144,0.04237
"14",0.0218,-0.00342,0.00295,0.0026,0.00596,0.01027,-0.0114,0.00571,0.02032,-0.01617,0.02394,0.01026
"15",-0.04676,-0.04037,-0.05855,-0.04752,-0.06173,-0.03604,-0.05066,-0.03967,-0.06811,-0.03899,-0.03775,-0.0414
"16",0.03355,0.01019,0.04556,0.04463,0.01747,0.02344,0.01941,0.03707,0.01804,0.03462,0.02704,0.04592
"17",0.07871,0.05609,0.0586,0.08218,0.08098,0.07494,0.07287,0.06931,0.06909,0.0597,0.06276,0.07445
"18",0.0475,0.03869,0.04664,0.05341,0.02644,0.04454,0.04286,0.04663,0.0284,0.03994,0.04809,0.04895
"19",0.07981,0.0558,0.07265,0.0552,0.05122,0.07677,0.0712,0.05826,0.07525,0.05119,0.0572,0.07115
"20",-0.02149,-0.0361,-0.0236,-0.03588,-0.0106,-0.02419,-0.01956,-0.03882,-0.0283,-0.02825,-0.03566,-0.02103
"21",0.0525,0.06145,0.05132,0.03778,0.05524,0.06213,0.06224,0.05943,0.04489,0.05675,0.0315,0.04093
"22",-0.04702,-0.0506,-0.03366,-0.05557,-0.07488,-0.04112,-0.0162,-0.03157,-0.06907,-0.05446,-0.02714,-0.0483
"23",0.01721,0.00569,0.01781,0.03044,-0.00946,0.02421,0.00882,0.04337,0.0059,0.02013,0.04576,0.02333
"24",-0.00342,0.03191,0.01738,0.01376,0.00885,0.01771,0.02667,0.02994,0.00448,0.03894,0.02484,-0.0047
"25",-0.00745,-0.01872,-0.02301,-0.00316,-0.01128,0.00125,-0.000100000000000001,-0.01606,-0.00363,-0.00608,-0.01713,-0.00752
"26",0.08062,0.05774,0.05612,0.08597,0.07837,0.08524,0.05074,0.08056,0.07633,0.06128,0.07386,0.09884
"27",0.05014,0.04415,0.03492,0.0565,0.0484,0.04841,0.04074,0.06101,0.03956,0.04654,0.04631,0.04379
"28",0.01479,0.03634,0.00683,-0.00317,0.03419,0.00219,0.02398,-0.000659999999999999,0.02207,0.01981,-0.00495,0.00967
"29",-0.06319,-0.05566,-0.00925,-0.0193,-0.06323,-0.01715,-0.04821,-0.02871,-0.04441,-0.03134,-0.01445,-0.00039
"30",0.02031,0.00375,-0.00163,-0.01001,0.01359,0.00289,0.00933,0.01235,0.01466,0.01082,0.00433,6.99999999999993e-05
"31",-0.04952,-0.04218,-0.02504,-0.05217,-0.03583,-0.03537,-0.03079,-0.04795,-0.03904,-0.01398,-0.02697,-0.05863
"32",-0.19369,-0.19295,-0.13788,-0.15973,-0.19228,-0.16934,-0.15177,-0.13555,-0.17963,-0.17872,-0.12052,-0.15767
"33",0.01677,0.1282,0.04741,0.01517,0.12068,0.04458,0.03095,-0.00223,0.10237,0.03942,0.06058,-0.00426
"34",0.05296,0.03767,0.07849,0.10912,0.08167,0.12467,0.08125,0.10917,0.0466,0.06712,0.07633,0.09764
"35",0.08272,0.05893,0.044,0.04642,0.05001,0.07114,0.05932,0.04999,0.05143,0.06787,0.06321,0.05919
"36",0.05235,0.0378,0.03218,0.04039,0.05522,0.02975,0.0342,0.03803,0.01246,0.07255,0.04691,0.02274
"37",0.05527,0.01194,0.01919,0.01468,0.04263,-0.01287,0.00167,0.00351,-0.01665,0.01969,-0.0272,0.0166
"38",-0.01726,-0.01437,-0.0097,-0.02716,-0.04578,-0.03723,-0.05601,-0.03763,-0.03127,-0.00603,-0.05175,-0.04097
"39",0.01884,0.05165,0.03449,0.02092,0.05136,0.000490000000000001,0.0146,0.01163,0.02969,0.03322,0.00812,0.0453
"40",0.09522,0.11554,0.11478,0.07537,0.09013,0.08633,0.09325,0.07435,0.10916,0.09167,0.07668,0.10152
"41",-0.03351,-0.03352,-0.0302,-0.01635,-0.02986,0.000850000000000002,0.01061,-0.01183,-0.04382,-0.03087,0.00102,-0.02148
"42",0.04345,0.01178,0.00463,0.04353,0.02626,0.02347,0.02955,0.02926,0.00255,0.02155,0.02844,0.04792
"43",-0.03115,-0.07306,-0.03605,-0.02149,-0.06874,-0.05377,-0.0398,-0.01912,-0.06497,-0.06813,-0.0364,-0.01082
"44",-0.02905,-0.01929,-0.0261,-0.03588,-0.01376,-0.05896,-0.04375,-0.02592,-0.00439,-0.02569,-0.03434,-0.03123
"45",-0.03476,-0.06824,-0.06129,-0.01663,-0.02195,-0.02699,-0.04272,-0.05705,-0.04042,-0.05216,-0.03857,-0.02961
"46",-0.02493,0.04231,-0.0169,0.02227,0.02695,-0.00782,-0.03639,0.04069,0.00667,0.04499,-0.00493,0.03254
"47",0.01152,0.0159,0.00488,0.02114,0.03354,-0.00211,-0.01126,0.0267,0.04154,0.00051,-0.00148,0.02837
"48",0.10456,0.07635,0.01511,0.05591,0.06499,0.01051,0.05911,0.06891,0.11203,0.05522,0.0118,0.05339
